Date,Price,Open,High,Low,Volume,Change(%)
17 Jun 2021,15691.4,15648.3,15769.35,15616.75,357649243,-0.48%
16 Jun 2021,15767.55,15847.5,15880.85,15742.6,340191175,-0.64%
15 Jun 2021,15869.25,15866.95,15901.6,15842.4,323262818,0.36%
14 Jun 2021,15811.85,15791.4,15823.05,15606.5,392862037,0.08%
11 Jun 2021,15799.35,15796.45,15835.55,15749.8,363011297,0.39%
10 Jun 2021,15737.75,15692.1,15751.25,15648.5,298297041,0.65%
09 Jun 2021,15635.35,15766.3,15800.45,15566.9,457855735,-0.67%
08 Jun 2021,15740.1,15773.9,15778.8,15680,378164658,-0.07%
07 Jun 2021,15751.65,15725.1,15773.45,15678.1,393970049,0.52%
04 Jun 2021,15670.25,15712.5,15733.6,15622.35,414162241,-0.13%
03 Jun 2021,15690.35,15655.55,15705.1,15611,410240584,0.73%
02 Jun 2021,15576.2,15520.35,15597.45,15459.85,428641666,0.01%
01 Jun 2021,15574.85,15629.65,15660.75,15528.3,409562322,-0.05%
31 May 2021,15582.8,15437.75,15606.35,15374,435999456,0.95%
28 May 2021,15435.65,15421.2,15469.65,15394.75,455582440,0.64%
27 May 2021,15337.85,15323.95,15384.55,15272.5,682374351,0.24%
26 May 2021,15301.45,15257.05,15319.9,15194.95,377682051,0.61%
